tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
FUNDACAO SAO FRANCISCO XAVIER,CENTRO DE ATENDIMENTO AO CLIENTE,Fundação Privada,2003.0,Atividades de atenção à saúde humana não especificadas anteriormente,Outras atividades de atenção à saúde humana não especificadas anteriormente,VILA MATHIAS,Saúde,Outros serviços de saúde
ABRACCII - ASSOCIACAO BRASILEIRA DE APOIO E COMBATE AO CANCER INFANTO JUVENIL,ABRACCII,Associação Privada,2014.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO EDUCACIONAL, CULTURAL, ESPORTIVA E RECREATIVA PROJETO TIA EGLE",PROJETO TIA EGLE,Associação Privada,2008.0,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,JARDIM CASTELO,Educação e pesquisa,Educação infantil
ASSOCIACAO DE PROTECAO AO CAMINHONEIRO - APROCAM,APROCAM,Associação Privada,2009.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"AEXS ASSOCIACAO DOS EXECUTIVOS DE SANTOS, SAO PAULO E SAO VICENTE",AEXS,Associação Privada,2009.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO SOCIAL SAGRADA FAMILIA,ASSOCIACAO SOCIAL SAGRADA FAMILIA,Associação Privada,2009.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JARDIM CASTELO,Educação e pesquisa,Educação infantil
ASSOC BRASIL DE APOIO AOS APOSENTADOS PENSION E SERV PUBLIC - ASBP,ASBP,Associação Privada,2011.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
"NOVA DIMENSAO - ORGANIZACAO DE APOIO SOCIAL, EDUCATIVO E CULTURAL AS PESSOAS COM NECESSIDADES ESPECIAIS E MINORIAS EXCLUIDAS DOS SISTEMAS COMUNS",NOVA DIMENSAO,Associação Privada,2010.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,APARECIDA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FILANTROPICA CATOLICA ORTODOXA,,Associação Privada,1999.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA BELMIRO,Educação e pesquisa,Educação infantil
FUNDACAO TV EDUCATIVA UNIVERSIDADE CATOLICA DE SANTOS,,Fundação Privada,1999.0,Atividades de televisão aberta,Atividades de televisão aberta,ENCRUZILHADA,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
LOJA MACONICA VERITAS N 2915,,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos; Religião,Religião
ASSOCIACAO DE EDUCACAO INFANTIL NOSSA SENHORA DAS GRACAS,,Associação Privada,1999.0,Educação infantil - creche,Educação infantil - creche,CENTRO,Educação e pesquisa,Educação infantil
ASSOCIACAO ESTRELA DA ESPERANCA INTERNACIONAL - BRASIL,STAR OF HOPE,Associação Privada,1999.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BAIRRO EMBARE,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
IGREJA CRISTA DA FAMILIA EM SANTOS,,Associação Privada,1999.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,APARECIDA,Religião,Religião
CENTRO DE ENSINO SUPERIOR STRONG,,Associação Privada,2008.0,Educação superior - graduação,Educação superior - graduação,PAQUETA,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
PROJETO EDUCACIONAL DE CONSCIENTIZACAO E ORIENTACAO - PROECO,PROECO,Associação Privada,2000.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CHICO DE PAULA,Assistência social,Assistência social
ASSOCIACAO DA IGREJA METODISTA - TERCEIRA REGIAO ECLESIASTICA,IGREJA METODISTA EM SANTOS,Organização Religiosa,2000.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,VILA MATIAS,Religião,Religião
IGREJA EVANGELICA BOLA DE NEVE,BOLA DE NEVE CHURCH,Organização Religiosa,2004.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,MACUCO,Religião,Religião
ASSOCIACAO EQUOTERAPIA,PROJETO EQUOTERAPIA,Associação Privada,2000.0,Atividades de atenção à saúde humana não especificadas anteriormente,Atividades de práticas integrativas e complementares em saúde humana,JABAQUARA,Assistência social; Saúde,Assistência social; Outros serviços de saúde
INSTITUTO ELOS BRASIL,,Associação Privada,2000.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Assistência social; Desenvolvimento e defesa de direitos,Outros
CRECHE SOLAR DOS ANJOS E EDUCACAO INFANTIL,,Fundação Privada,2001.0,Educação infantil - creche,Educação infantil - creche,MORRO DA NOVA CINTRA,Educação e pesquisa,Educação infantil
ASSOCIACAO DOS SERVIDORES DA POLICIA FEDERAL EM SANTOS,ANSEF/STS,Associação Privada,2001.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO EDUCACIONAL INFANTIL E FUNDAMENTAL EVOLUIR,ESCOLA EVOLUIR,Associação Privada,2011.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CAMPO GRANDE,Desenvolvimento e defesa de direitos; Educação e pesquisa,Educação infantil
CONGREGACAO DAS MISSIONARIAS DA CARIDADE,,Associação Privada,1996.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,RADIO CLUBE,Assistência social; Religião,Religião
"PROJETO SOCIAL CIPO ARTES, ARTES MARCIAIS",PSC,Associação Privada,2011.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,APARECIDA,Cultura e recreação,Esporte e recreação
"FAPETEC FUNDACAO DE APOIO A PESQUISA, ENSINO, TECNOLOGIA E CULTURA.",,Fundação Privada,2003.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Desenvolvimento e defesa de direitos,Outros
FUNDACAO PAULO GOMES BARBOSA,,Fundação Privada,2004.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MORRO DO PACHECO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO NACIONAL DE ESPORTES,ANVP,Associação Privada,2004.0,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,GONZAGA,Cultura e recreação,Esporte e recreação
ASSOCIACAO DE AMIGOS DA PINACOTECA BENEDICTO CALIXTO,,Associação Privada,2003.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE ASSISTENCIA SOCIAL EVOLUCAO,ESCOLA DE EDUCACAO INCLUSIVA CELIA PFEIFER,Associação Privada,2004.0,Ensino fundamental,Ensino fundamental,EMBARE,Assistência social; Educação e pesquisa,Ensino fundamental
MINISTERIO APOSTOLICO PLENITUDE EM CRISTO,,Associação Privada,2004.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,APARECIDA,Religião,Religião
ASSOCIACAO ECOVIVENCIA,,Associação Privada,2004.0,,,MORRO DA NOVA CINTRA,Desenvolvimento e defesa de direitos,Outros
O.N.G. (ORGANIZACAO NAO GOVERNAMENTAL) DEFESA DA VIDA ANIMAL -,O.N.G. DEFESA DA VIDA ANIMAL,Associação Privada,2004.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,MACUCO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DR. CELSO CHARURI DE SANTOS,,Associação Privada,2004.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
INSTITUTO DE SAUDE E MEIO AMBIENTE,ISAMA,Associação Privada,2005.0,,,ESTUARIO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CONSCIENCIA PELA CIDADANIA,CONCIDADANIA,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VILA MATIAS,Desenvolvimento e defesa de direitos,Outros
NUCLEO DE AMPARO A CRIANCAS E ADULTOS COM CANCER - NACAC,NACAC,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JOSE MENINO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BENEFICENTE NOSSA SENHORA DE GUADALUPE,,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CANELEIRA,Assistência social,Assistência social
ASSOCIACAO BENEFICIENTE ANGLO AMERICANA ABAA,,Associação Privada,1966.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,JOSE MENINO,Desenvolvimento e defesa de direitos,Outros
CLUBE XV,,Associação Privada,1966.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO COMERCIAL DE SANTOS,,Associação Privada,1970.0,Atividades de organizações associativas patronais e empresariais,Atividades de organizações associativas patronais e empresariais,CENTRO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
EDUCANDARIO SANTISTA,,Associação Privada,1970.0,Educação infantil - pré-escola,Educação infantil - pré-escola,BOQUEIRAO,Assistência social; Educação e pesquisa,Educação infantil
MANCEPAR ASSOC. MANTENEDORA DE CEMITERIOS PARTICULARES,,Associação Privada,1989.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO ESPIRITA BENEFICENTE 30 DE JULHO,,Associação Privada,1966.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,VILA MATIAS,Assistência social; Religião; Saúde,Assistência social; Religião
CENTRO ESPIRITA BENEFICENTE 30 DE JULHO,C.E.B. 30 DE JULHO - RESIDENCIA INCLUSIVA,Associação Privada,2014.0,,,MARAPE,Assistência social; Religião,Religião
LAR DAS MOCAS CEGAS,,Associação Privada,1966.0,Atividades de ensino não especificadas anteriormente,Outras atividades de ensino não especificadas anteriormente,VILA MATHIAS,Assistência social; Outras atividades associativas; Saúde,Assistência social; Associações de atividades não especificadas anteriormente
ASSOCIACAO BENEFICENTE DOS DESPACHANTES ADUANEIROS DE SANTOS,,Associação Privada,1966.0,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,CENTRO,Desenvolvimento e defesa de direitos,Outros
SOC HUMANITARIA DOS EMPREGADOS DO COMERCIO DE SANTOS,,Associação Privada,1966.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,CENTRO,Desenvolvimento e defesa de direitos,Outros
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS,SANTA CASA DE SANTOS,Associação Privada,1981.0,Atividades de atendimento hospitalar,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",JABAQUARA,Saúde,Hospitais
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS,SANTA CASA DE SANTOS,Associação Privada,1982.0,Atividades funerárias e serviços relacionados,Serviços de funerárias,JABAQUARA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
SOCIETA ITALIANA DI SANTOS,,Associação Privada,1970.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CASA DE ESTAR DE SANTOS,,Associação Privada,1970.0,Educação infantil - pré-escola,Educação infantil - pré-escola,BOQUEIRAO,Educação e pesquisa,Educação infantil
INSTITUTO HISTORICO E GEOGRAFICO DE SANTOS,,Associação Privada,1970.0,Atividades de bibliotecas e arquivos,Atividades de bibliotecas e arquivos,BOQUEIRAO,Saúde,Outros serviços de saúde
GUARDA NOTURNA DE SANTOS,,Associação Privada,1970.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
SANTOS ATLETICO CLUBE,,Associação Privada,1971.0,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",JOSE MENINO,Cultura e recreação,Esporte e recreação
CAIXA AUXILIADORA DOS EMPREGADOS DA SOCIEDADE PORTUGUESA DE BENEFICENCIA DE SANTOS,,Associação Privada,1970.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,VILA BELMIRO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO DE ENGENHEIROS E ARQUITETOS DE SANTOS,AEAS,Associação Privada,1970.0,Atividades de organizações associativas profissionais,Atividades de organizações associativas profissionais,BOQUEIRAO,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
ASSOCIACAO PRATO DE SOPA MONSENHOR MOREIRA,,Associação Privada,1970.0,Serviços de assistência social sem alojamento,Serviços de assistência social sem alojamento,VILA NOVA,Assistência social,Assistência social
CONGREGACAO SANTISTA DE SURDOS,CIES - CENTRO DE INCLUSAO EDUCACIONAL PARA SURDOS,Associação Privada,1970.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,GONZAGA,Assistência social; Religião,Religião
INSTITUTO SUPERIOR DE EDUCACAO SANTA CECILIA,,Associação Privada,1970.0,Educação superior - pós-graduação e extensão,Educação superior - pós-graduação e extensão,BOQUEIRAO,Educação e pesquisa; Outras atividades associativas,Associações de atividades não especificadas anteriormente
